	ID по указалю	Wikidata	Комментарий из ПСС	geo																
Гакуэн К.	3044		К. Гакуэн (K. Gaquoin, Висбаден) в письме излагал взгляды на статью Мессер-Бергферга (Messer-Bergferg), в которой автор не соглашался с Толстым по вопросу о бессмертии и об уничтожении личности.																	
Галактионов Василий Т.	3047		Василий Т. Галактионов — последователь, с 1885 г. проповедник секты «Новый Израиль». Неоднократно подвергался арестам.																	
Галактион Вологодский	3046	Q28474028																		
Сухум-Кале	13419	Q40811																		
Брошар	1913		Брошар - автор работы о французском спиритуализме.																	
Грибоедов Александр Сергеевич	3844	Q15001																		
Шаховской Сергей Иванович	15488		 Кн. Сергей Иванович Шаховской (1865—1908) — земский деятель Московской губернии. В 1899 г. приезжал в Поволжье для организации помощи голодающим.																	
Алупка	334	Q448047																		
Бегтин Василий Петрович	1094		Бегтин В.П. работал над изобретением «вечного двигателя» и просил Толстого помочь ему. 																	
Бегунов	1095		Бегунов - поэт.																	
«Бегуны», статья	1096		«Бегуны» — статья неизвестного автора о секте бегунов. Секта бегунов или странников возникла в старообрядческой среде не позднее второй половины XVIII века. Она отличалась резким отрицанием гражданской власти, к которой бегуны относились, как к проявлению силы антихриста. Бегуны не признавали паспортов, не выполняли государственных повинностей и жили в лесах, по преимуществу в северных губерниях и в некоторых местностях Поволжья, Урала и Сибири. Статья, о которой идет речь, требовала переработки, за которую хотел взяться Чертков с помощью Иванова. Однако, по цензурным условиям, статья не могла быть напечатана.																	
Бедбург Георг (Bedbourgh)	1097		Бедбург Г. - редактора журнала «The Adult».																	
Бегичев Никита Степанович	1090		Никита Семенович Бегичев - сын друга Грибоедова, помещик Тульской губ., владелец имения Екатерининского Епифанского уезда, где Грибоедов писал «Горе от ума». 																	
Бегичева Мария Ивановна	1091		Мария Ивановна Бегичева, помещица Епифанского уезда; ее имение Екатерининское находилось в одном километре от Бегичевки.																	
Бегичева Мария Степановна	1092		Марья Степановна Бегичева (р. 21 ноября 1833 г.), дочь друга Грибоедова Степана Никитича Бегичева (1790—1859) и Анны Ивановны, рожд. Барышниковой. В 1890 г. М. С. Бегичева была певицей.																	
Бегичевка Рязанской губ.	1093		Село Бегичевка Данковского уезда, Рязанской губернии.																	
Брохунов Иван Андреевич	1912		Сведений об этом посетителе Толстого не найдено. В рассказе «Хозяин и работник» Толстой хозяину дал имя: Иван Андреевич Брехунов.																	
Бедекер Фредерик Вильям (Фридрих Вильгельм)	1098	Q42296152																		
Бёдингхауз Ричард (Вöd dinghaus)	1099		Ричард Бёдингхауз прислал свою книгу «Бессмертный кормчий» — «The Immortal Pilot», Chicago, 1901.																	
Ржевская Наталья Андреевна, рожд. Беэр	11673		Наталья Андреевна Ржевская (1809—1887), рожд. Беэр, доводилась Толстому троюродной сестрой. Лев Николаевич был знаком с ней с 1850-х гг.																	
Шмаков Петр Логинович	15698		Шмаков П.Л. из Царицына, бывший гимназист, просил материальной помощи.																	
Шмелев И. П.	15699		Шмелев И.П. из Москвы  просил о личном свидании для разъяснения преимуществ изобретенной им новой системы счетоводства. 																	
Сечинский Иван Иванович	12580		Иван Иванович Сечинский, полковник, полицеймейстер третьего отделения в Москве.																	
Шлецер Август (Schlötzer)	15692	Q61318																		
Шлиссельбург	15693	Q15339																		
Шлейермахер Фридрих	15690	Q76576																		
Шлейченко Авксентий Никитич	15691		Шлейченко спрашивал о существовании бога и сочинений: «Откуда вся природа появилась и кто ею управляет?» 																	
Шляхтина	15696		-																	
Шмакин Алексей	15697		Алексей Шмакин, крестьянин деревни Гайнова Крапивенского уезда, близ ст. Лазарево Московско-Курской ж. д. Толстой еще осенью 1889 г. обращался в связи с его делом к тульскому губернатору Н. А. Зиновьеву. 																	
Шлоссер Фридрих Христофор	15694	Q67667																		
Шлякман Иосиф	15695		В письме И. Шлякман просил Толстого о денежной помощи.																	
Рибо Теодуль	11679	Q463441																		
Берс Александр Евстафьевич:	1322		Александр Евстафьевич Берс, дядя С. А. Толстой.																	
Берс Александра Александровна, рожд. Крамер	1323		Берс А.А. - жена брата С. А. Толстой Вячеслава Андреевича Берса.																	
Берс Александр Александрович	1320		Александр Алексеевич Берс (1844—1921), двоюродный брат С. А. Толстой, женатый на ее старшей сестре Елизавете Андреевне Берс (1843—1919). А. А. Берсом написаны «Отрывки воспоминаний о Толстом».																	
Берс Александр Андреевич	1321		Александр Андреевич Берс (1845—1918), старший брат С. А. Толстой, приезжал в Ясную Поляну с женой Анной Александровной и двумя дочерьми.																	
Берс Владимир Андреевич	1326		Владимир Андреевич Берс (1853—1874), брат С. А. Толстой, гусар, умер от перитонита.																	
Берс Вячеслав Андреевич	1327		Вячеслав Андреевич Берс (1861—1907), младший брат С. А. Толстой. Впоследствии инженер путей сообщения, один из строителей Сибирской магистрали и Троицкого моста в Петербурге. Жена его — Александра Александровна Крамер. В детстве В. А. Берса звали уменьшительными именами «Славочка» и «Лапа».																	
Берс Андрей Евстафьевич	1324	Q23727099																		
Берс Анна Александровна	1325		 Анна Александровна Берс, рожд. Митрофанова, жена А. А. Берса. С. А. Толстая писала о том, как она расшиблась, упавши в обморок.																	
Берс Елена Александровна	1328		Елена Александровна Берс (1837—1920) — двоюродная сестра С. А. Толстой.																	
Берс Елизавета Андреевна	1329		Елизавета Андреевна Берс (1843—1919) — старшая сестра С. А. Толстой. В 1862—1863 гг. Е. А. Берс принимала участие в составлении издававшихся Толстым при журнале «Ясная Поляна» популярных книжек. Позднее печатала в «Новом времени» статьи по экономическим вопросам.																	
Селиванова Е. А.	12420		Селиванова спрашивала Толстого, не является ли «оптинский старец», про которого Толстой писал в своей статье «О самоубийстве», оптинским старцем Амвросием, у которого бывали Толстой, Достоевский, Вл. Соловьев и К. Леонтьев.																	
Корнев Олег Сергеевич	6906		Корнев, гимназист, прислал письмо с религиозными вопросами. 																	
«Сельский вестник», газета	12422	Q4414024																		
«Сельский календарь»	12423		«Сельский календарь» - газета, издаваемая И. И. Горбуновым-Посадовым																	
«Сельское чтение», сборник	12424	Q7821420																		
Маша (служанка Толстых)	8687		Маша — яснополянская служанка Толстых.																	
Шапель (Claude Emmanuel Luillier)	15430	Q1096324																		
Кладищев Дмитрий Петрович	6456		Дмитрий Петрович Кладищев (1838—1903) - был рязанским губернатором в 1890-х гг. 																	
Семен (крестьянин)	12428		Семен — крестьянин.																	
Лысухин С. П.	8135		-																	
Лысцов Н. В.	8136		Лысцов Н. В. - секретарь «Беседы».																	
Лысые Горы Московской губ.	8137		Лысые Горы - деревня в Моск. губ.																	
Лыкова Анна Григорьевна	8130		Лыкова Анна Григорьевна, рожд. Вердеревская (ум. 1678 г.)— первая жена М. И. Лыкова.																	
Лыкова Ефимья Михайловна	8131		Лыкова Ефимья Михайловна — вторая жена М. И. Лыкова.																	
Лыковы	8132	Q4270572																		
Шаповаленко В.	15439		Шаповаленко, молодой крестьянин-бедняк, на 10 страницах описывал свою жизнь и стремление к образованию, чтобы приносить пользу народу. 																	
Сибирякова Анна Михайловна	12586		Анна Михаиловна Сибирякова — дочь богатого сибирского купца-золотопромышленника; была знакома с Толстым.																	
Прахов Мстислав Викторович	11224	Q15720384																		
Брукс Флойд Д.	1917		Ф. Д. Брукс - доктор из г. Мильвокей, США.																	
Сапогов Сергей Иванович	12250		Сапогов Сергей Иванович - крестьянин деревни Озерок, Крапивенского уезда.																	
Легг Джемс (Legge)	7739	Q1287990																		
Левшина Вера Федоровна	7738		Левшина Вера Федоровна - дочь Федора Львовича Сологуба (1848—1898).																	
Левицкий Павел Иванович	7733		Павел Иванович Левицкий (1842—1920) — помещик Чернского уезда Тульской губ., сельский хозяин; автор «Писем из села Алексеевского», печатавшихся с конца 1870-х гг по 1903 г. в «Земледельческой газете» и в журнале «Хозяин». Знакомый семьи Толстых. 																	
Левицкий М. Ф.	7732		В письме врач из Киевской губ. Левицкий (р. 1866) просил разрешить перевод на украинский язык народных рассказов Толстого. 																	
Левицкий Григорий Павлович	7731		Григорий Павлович Левицкий — чиновник особых поручений при военном министре.																	
Левицкие	7730		Помещик Чернского уезда (имение Алексеевское) Павел Иванович Левицкий (1842—1920), автор «Писем из села Алексеевского», печатавшихся с конца 1870-х гг. по 1903 г. в «Земледельческой газете» и в журнале «Хозяин». Жена П. И. Левицкого — Варвара Александровна Левицкая, рожд. Свечина (1846—1916).																	
Левшин Алексей Ираклиевич	7737	Q4272921																		
Левшин А.	7736		А. Левшин опубликовал ряд очерков по истории женского вопроса в журнале «Колосья» за 1887—1889 гг.																	
Левкович Александр Иванович	7735		Левкович Александр Иванович, полковник, командир Тенгинского полка.																	
Левицкий Рафаил Сергеевич	7734	Q2215640																		
Грушецкий Василий Николаевич	3959		Грушецкий Василий Николаевич - был в 1909 г. становым приставом первого стана Новосильского уезда.																	
Грушецкий (адвокат)	3958		-																	
Грунский Карл	3953	Q19509361																		
Грундман	3952		-																	
Грунди Вильям	3951		Вильям Грунди (W. Grundy) приехал в Россию со специальным поручением от посла Соединенных Штатов Америки в связи с голодом (передать собранные в США деньги голодающим). 																	
Грумант (Грумы, Угрюмы) Тульской губ.	3950	Q23976795																		
Грушевский Петр Семенович	3957		Петр Семенович Грушевский - юноша из Новгородской губ. писал Толстому о тяжестях крестьянской жизни, о том, что близок к самоубийству, так как не может ответить на вопрос: «Какая цель жизни?» — несмотря на то, что прочел «В чем моя вера?» — и просит Толстого ответить.																	
Грушевский Иван Степанович	3956		Иван Степанович Грушевский -  крестьянин, служивший в магазине швейных машин в гор. Боровичах Новгородской губ. В 1905 г. Грушевский за участие в революционной деятельности был арестован и девять месяцев просидел в тюрьме. Судом был оправдан, но состоял под надзором полиции																	
Груша Владимир	3955		Груша прислал Толстому свой рассказ и просил дать отзыв о нем.																	
Грунт (Австрия)	3954		Грунт - деревня в Австрии.																	
Маклаков Василий Алексеевич	8358	Q4275807																		
Маклаков Николай Алексеевич	8359	Q1985032																		
Макеев Александр Гордеевич	8350		Александр Гордеевич Макеев (р. 1874), сын крестьянина села Россоши, Воронежской губ. Макеев помогал Толстому на голоде в первой половине 1893 г.																	
Макей	8351		-																	
Макиавелли Никколо ди Бернардо	8352	Q1399																		
Макинтош Джон	8353	Q3182058																		
Макк Карл	8354	Q93489																		
Маккенна Стефан	8355		Макенна (Mackenna) корреспондент «New-York Times». Приезжал к Толстому, спрашивал, «как он смотрит на положение России и что думает о петербургских событиях 9 января 1905г.																	
Маклаков Алексей Алексеевич	8356	Q51670259																		
Маклаков Алексей Николаевич	8357	Q4275804																		
Гиббон Эдуард	3333	Q161841																		
Бобровских К.	1546		К. Бобровских — служащий управления железной дороги. В 1905 г. жил в г. Ашхабаде.																	
Бугровка Рязанской губ.	1966	Q23954543																		
Густав Иванович	4062		-																	
Гутбир	4063		Гутбир — аптекарь.																	
Гусран Лев	4060		Гусран просил выполнить обязательство по подписке на журнал «Ясная Поляна». 																	
Гуссак Л.	4061		Л. Гуссак прислал на отзыв свои произведения. 																	
Гутменш Иван	4066		Гутменш Иван — немец, врач, убит во время бунта 1682 г.																	
Гутодье	4067		Гутодье — французский рабочий, который, будучи призван в 1895 г. на военную службу, отказался от ношения оружия, за что четыре года просидел в тюрьме. 																	
Гутенберг Иоганн	4064	Q8958																		
Гутман Зальман	4065		Зальман Гутман (р. 1893) — сын духовного раввина местечка Судилкова Волынской губ.																	
Гутцейт Иоганнес	4068	Q19506703																		
Гуцков Карл	4069	Q76755																		
Иоанн, епископ новгородский	5784	Q25860633																		
Иоанн, иеромонах (Шамиэ)	5785		Иеромонах Иоанн, в миру Шамиэ — араб по происхождению, преподаватель Пензенской духовной семинарии.																	
Иоанн III Васильевич	5786	Q171185																		
Иоанн IV Васильевич Грозный	5787	Q7996																		
Иоаким, архимандрит	5780	Q25865730																		
Иоаким, патриарх	5781	Q1652650																		
Иоаникий, архимандрит	5782		Иоаникий — архимандрит Печерский.  																	
Иоанн, архимандрит (Соколов)	5783	Q4202438																		
Иоанн V Алексеевич	5788	Q183698																		
Иоанн VI Антонович	5789	Q151781																		
Сакс М.	12166		М. Сакс держал оркестр. Его сад, впоследствии Тейсера, находился в Петровском парке. В объявлениях за 1867 г. значится, что концерты в б. саду Сакса происходят «во вновь устраиваемой ротонде».																	
Гольтяков П. П.	3603		В письме железнодорожный служащий П. П. Гольтяков от имени «группы молодежи» спрашивал, почему Толстой отказался от собственности «в пользу супруги» и остался жить в своем же имении.																	
Гольмс-Форбс, «The science of beauty»	3602		-																	
Гольме Оливер Вендель	3601	Q24412692																		
Гольмблат А. Б.	3600		-																	
Гольцева Елена («мещанка», «женщина»)	3607		 Елена Гольцева жила с В. П. Толстым и имела от него детей.																	
Гольцев Виктор Александрович	3606	Q4142814																		
Гольцвардт Б. Г.	3605		 В письме «чиновник управления государственными имуществами Елисаветпольской губернии» Гольцвардт просил указать адрес издателя или выслать ему произведения Толстого по религиозно-нравственным вопросам.																	
Гольцапфель Э. К.	3604		Э. К. Гольцапфель, француз-швейцарец, приглашенный С. А. Толстой в качестве гувернера младших сыновей. Был членом религиозно-филантропической «Армии спасения».																	
Гольдман А.	3609		Гольцман просил разрешения прислать рукопись своего сочинения.																	
Гольцева Наталья Алексеевна	3608		Наталия Алексеевна Гольцева (1853—1932), рожд. Оппель — вдова В. А. Гольцева, одна из учредительниц Пречистенских курсов для рабочих, преподавательница женских гимназий в Москве. 																	
Толстой С. (из Симбирской губ.)	13904		Толстой С. писал с просьбой разрешить перевести сочинения Толстого на язык эсперанто. 																	
Мицкевич Адам	9098	Q79822																		
Добрыня Никитич, былинный персонаж	4480	Q779966																		
Пяшунин Яков С.	11438		Яков С. Пяшунин — крестьянин Пермской губ., просил Толстого посоветовать ему, как переселиться в Америку, Канаду или Колумбию.																	
Р.	11439		-																	
Пятница И. С.	11432		В письме пятнадцатилетний мальчик И. С. Пятница просил «разобрать» его стихотворение «Отлет ласточек». Он хочел учиться и спрашивал, в какое училище лучше поступить. 																	
Пятницкие	11433		Пятницкие — знакомое семейство Толстого.																	
Пятигорский округ	11430	Q21129631																		
Пяткин	11431		Пяткин - штабс-капитан.																	
Пятово Тульской губ.	11436		Пятово - деревня Пятовка, Епифанского уезда.																	
Пятово Василиса	11437		Пятово Василиса — псаломщица у царевны Татьяны Михайловны.																	
Пятницкий Константин Петрович	11434	Q18755187																		
Пятов А. Н.	11435		Пятов А.Н. - редактор журнала «Кругозор».																	
Толстой Сергей Николаевич	13906		Гр. Сергей Николаевич Толстой (1824—1904). В молодости был военным. После женитьбы на цыганке московского хора, Марии Михайловне Шишкиной, жил в своем имении Пирогово Тульской губ. Несмотря на разность взглядов был и в последние годы жизни душевно связан с Толстым, который, по его собственному признанию в Дневниках 1847—1854 гг. (т. 46), восхищался старшим братом.																	
Дмитровское Калужской губ.	4453	Q16020486																		
Дмитровка Самарской губ.	4452		Дмитровка - деревня в Самарской губ.																	
Дмитровка Рязанской губ.	4451		Дмитровка - деревня в Скопинском уезде Рязанской губ.																	
Дмитров Московской губ.	4450	Q102334																		
Днепр	4457	Q40855																		
«Дневник русского актера», — журнал	4456	Q24406824																		
Дмоховский Лев Адольфович	4455	Q4163066																		
Дмоховская Анастасия Васильевна	4454		Анастасия Васильевна Дмоховская, рожд. Воронец, мать Льва Адольфовича Дмоховского (1851—1881), революционера из кружка «долгушинцев», сосланного в 1880 г. на каторгу в Кару и умершего по дороге. Просила у Толстого содействия в хлопотах за своего зятя Александра Александровича Тихоцкого — народовольца, тоже сосланного в Сибирь в связи с делом 1 марта 1881 г. Дмоховская устраивала Толстому свидания с нелегальными политическими.																	
Добржанский Иван	4459		В письме учитель церковно-приходской школы Добржанский, «томимый ужасной жаждой знания», просил выслать книг и сто рублей.																	
Добреньков М.	4458		Добреньков в письме спрашивал, как проводить свободное время, как жить и что читать. 																	
Баранцевич Казимир Станиславович	959	Q5565527																		
Барановский А. В.	958		Александр Васильевич Барановский - заведывал имением наследников В. Н. Сабашникова в Покровском у. Владимирской губ.,муж старшей дочери Сабашникова, Екатерины Васильевны.																	
Толстой Сергей Павлович	13907		Сергей Павлович Толстой (р. 1824 г.), впоследствии генерал-майор, Лаишевский уездный предводитель дворянства (с 1884 г.).																	
Баранов Николай Михайлович	951	Q4077763																		
Баранов Н.	950		В письме из Петербурга от 5 июля 1907 г. Н. Баранов, не соглашаясь с основными положениями статьи Толстого «К политическим деятелям», писал, что борьба в природе и среди людей является непреодолимым законом природы.																	
Барановская Екатерина Васильевна	953		Барановская Е.В. - старшая дочь В.Н. Сабашникова.																	
Баранов Николай Павлович	952		Николай Павлович Баранов - член Тульского окружного суда.																	
Барановские	955		Александр и Николай Ивановичи Барановские, московские коммерсанты.																	
Барановская М. А.	954		Барановская М. А. в письме просила сообщить средство против малярии.																	
Барановский	957		-																	
Барановские хутора Тульской губ.	956		Барановские хутора - селение в Ефремовском уезде Тульской губ.																	
Шикунов Иона Михайлович	15623		Иона Михайлович Шикунов - крестьянин (Хворостянка Самарской губ.)																	
Протасова Екатерина Афанасьевна	11318		Екатерина Афанасьевна Протасова, рожд. Бунина (1771—1848), единокровная сестра Василия Андреевича Жуковского, была замужем за Андреем Ивановичем Протасовым (ум. в 1796 г.), от которого имела двух дочерей: Марию (1793—1823), вышедшую в 1817 г. за профессора Дерптского университета Ивана Филипповича Мойера (1786—1858), и Александру (1795—1829), вышедшую в 1814 г. за писателя Александра Федоровича Воейкова (1778—1839), бывшего в 1815—1819 гг. профессором Дерптского университета.																	
Толстой Петр Иванович	13900		Гр. Петр Иванович (1785—1834) - двоюродный дядя Толстого,мичман в отставке, умерший от чахотки, упоминаемый Толстым в «Воспоминаниях детства», был женат на Елизавете Александровне Ергольской (1790—1851).																	
Офросимова Анна Михайловна	10368		Анна Михайловна Офросимова, рожд. Римская-Корсакова - жена тульского помещика.																	
Кеннан Джордж	6334	Q1507714																		
Кент Эрнест	6335		Эрнест Кент (Ernest Kent, p. 1889?) — англичанин. В 1904 г. жил в Бостоне (Англия).																	
Кеплер Иоганн	6336	Q8963																		
Кепов А. Г.	6337		Кепов А.Г. писал с просьбой ответить на вопрос: «Какие стороны русского народа, выраженные в Каратаеве, делают это лицо чем-то вроде идеала Пьера в знаменитом романе «Война и мир»?»																	
Кенворти Джон Колеман	6330	Q18911416																		
Кензингтонский музей (Лондон)	6331	Q207385																		
Сакович Иосиф Иосифович	12163		В письме (на сорока восьми страницах) И. И. Сакович, двадцати двух лет, подробно описывал свою жизнь с детских лет и свое несчастье: заразился от приятеля сифилисом горла, от него заразилась младшая сестра. Просил денег на лечение у знахаря, который «замечательно и радикально излечивает от этой болезни секретным составом» в течение месяца. 																	
Кенигсберг	6333	Q4120832																		
Керд, «Essay on Philosophy of Art»	6338		 Керд, «Essay on Philosophy of art» («Опыт о философии искусства»), 1883.																	
Кёрилл	6339		Кёрилл - американский пастор, приезжал к Толстому в Спасское.																	
Нератов Алексей Иванович	9674		Нератов Алексей Иванович (1832—8 окт. 1853), учился в Казанском университете при Л. Н. Толстом, покончил жизнь самоубийством.																	
Нератов Анатолий Иванович	9675		Нератов Анатолий Иванович, муж Екатерины Модестовны Молоствовой, которого Толстой знал с Казанского университета (1846—1850).																	
Нератова Екатерина Модестовна	9676		Нератова Екатерина Модестовна(Молоствова) - жена Нератова Анатолия Ивановича, которого Толстой знал с Казанского университета.																	
Нерон Клавдий Цезарь	9677	Q1413																		
Неплюев Леонтий Романович	9670	Q4317308																		
Неплюев Николай Николаевич	9671	Q4317311																		
Непра, река	9672		-																	
Нерадовский Петр Иванович	9673		-																	
Одоевский В. Ф. и Заблоцкий А. П., «Сельское чтение»	10105	Q7821420																		
Одоевский Александр Иванович (декабрист)	10104	Q952777																		
Одоевский Владимир Федорович	10107	Q468067																		
Одоевский Василий Юрьевич	10106	Q21636729																		
Нерчинск	9678	Q146043																		
Несбит Доротея	9679		Доротея Несбитт (р. 1879?) — молодая англичанка, в своем письме из Перлей-Сюррей (Perley Surrey, Англия), от 3 января 1910 г. описывала свою жизнь и влияние на нее учения Толстого. Она ставила Толстому два вопроса. Первый вопрос: следует или не следует делать сбережения для обеспечения своей старости? Сама она считает, что надо дословно понимать евангелие и не думать о завтрашнем дне, потому что он может и не прийти. Второй вопрос: почему в «Крейцеровой сонате» Толстой проповедует воздержание даже между женатыми людьми, а в книге «Так что же нам делать?» говорит, что женщина не должна уклоняться от священного долга рождения детей.																	
Одоевский Александр Иванович	10103	Q952777																		
Одоевский уезд Тульской губ.	10102	Q4331770																		
Сабашникова Маргарита Васильевна	12095		-																	
Сабашникова М. А.	12094		-																	
Саблуков Н. А., Воспоминания о Павле I	12097		Воспоминания Н. А. Саблукова о Павле I в № 2 «Исторического вестника» за 1906 г.																	
Роршах Герман	11858	Q122279																		
Росиньер (Швейцария)	11859	Q67694																		
Саберский Генрих	12096		-																	
Миллер («3-й»)	8909	Q739130																		
Миллер	8908		-																	
Милич Лаура	8905		В письме из Двинска от 21 октября 1909 г. Лаура Милич спрашивала, как она должна поступить: ей, как лютеранке, предстояла конфирмация (первая исповедь), но она не была верующей.  																	
Милиус E. (Mylius)	8904		-																	
Рона, река	11852	Q602																		
Милкова	8906		Милкова (сведений о ней нет) в письме убеждала Толстого «вернуться к церкви» и поверить в «божественность Христа»; прилагала вырезку из газеты со статьей «Только ли совпадение?», содержание которой касалось землетрясения в Мессине, явившегося, по словам Милковой, «поучительным чудом наказания за кощунство».																	
Милет (Греция)	8901	Q169460																		
Милашевич Татьяна Сергеевна	8900		Татьяна Сергеевна Бибикова - дочь М. С. Бибиковой, впоследствии по мужу Милашевич.																	
Мшшоти Константин Юрьевич	8903		Милиоти Константин Юрьевич 																	
Милина О. Н.	8902		О. Н. Милина (фамилия вымышленная) (р. 1883) в письме к Толстому из Киева от 9 февраля 1910 г. описывала свою семейную драму и спрашивала совета у Толстого, как лучше ей поступить.																	
Ермилины	4969		Ермилины — семья яснополянских крестьян																	
В. Н.	2175		-																	
Крашенинников Василий Ефимович («студент»)	7128		Василий Ефимович Крашенинников (р. 1889) — в 1907—1914 гг. студент медицинского факультета Московского университета, впоследствии врач.																	
Крашенинников С. Г.	7129		С. Г. Крашенинников (р. 1890) — окончил в мае 1906 г. четырехклассное городское училище, поступил служить на железную дорогу.																	
Крачкевич П. С.	7126		Крачкевич писал о своих религиозных исканиях; сообщал о том, как священник отказал ему в благословлении после того, как он просил у него разрешения на гражданский брак. Обращался к Толстому за разрешением этих вопросов.																	
Крачковский Владимир Николаевич	7127		Владимир Николаевич Крачковский, мировой судья в мест. Плунгяны Ковенской губ., автор рассказов и афоризмов (Спб. 1900). При письме от 18 января 1899 г. прислал Толстому свое сочинение «Смерть. 33 мысли».																	
Крафт-Эбинг	7124	Q77082																		
Крахмаль Трофим Алексеевич	7125		Крахмаль прислал письмо о молитве.																	
Крауфорд Джон (Crawford, из Манчестера)	7122		Джон Крауфорд (John Crauford) из г. Манчестера. В письме от 12 марта н. ст. 1894 г. Крауфорд писал Толстому, что, познакомившись с его книгой «Царство божие внутри вас», узнал в нем человека, близкого ему по взглядам, в подтверждение чего посылает ему две своих брошюры. Заглавие одной из них, сохранившейся в яснополянской библиотеке, «Religion of humanity» («Религия человечества»), Бостон, 1883.																	
В. П.	2178																			
Крауфорд (J. M. Crowford), американский консул	7120		Крауфорд - генеральный консул Соединенных Штатов в России.																	
Крауфорд Генри (Crawford)	7121		Генри Крауфорд (р. 1883) — в 1904 г. жил в Мельбурне (Австралия).																	
Богоявленский Николай Ефимович	1606		Николай Ефимович Богоявленский (р. 1867), будучи гимназистом 8 класса, давал уроки сыновьям Толстого в Ясной Поляне. Впоследствии был земским врачом в Данковском уезде Рязанской губ. В 1891—1892 гг. сотрудничал с Толстым в деле оказания помощи голодающим. После Октябрьской революции работал врачом на фабрике «Пролетарка» в Калинине.  																	
В. Ш., Отзыв о пьесе Л. Л. Толстого «Братья помещики»	2179		 Отзыв о пьесе Л. Л. Толстого «Братья помещики», шедшей на сцене Малого театра в Петербурге, помещённый в № 11140 «Нового времени» от 18 марта 1907 г.																	
Сабуйский А., «Опыт общественной организации нравственной жизни»	12099		А. Сабуйский, «Опыт общественной организации нравственной жизни» — «Северный вестник» 1897, 12, стр. 151—158.																	
Сабо Андре	12098		Андре Сабо - венгерский поэт, писал с просьбой о разрешении на постановку «Власти тьмы» в Будапеште.																	
